epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,70.1121,1.17095,1.12586,1.07846,0.78148,0.41667,0.5326,0.34346,1.41851,1.84689,1.72769,0.0008647,0.0008647,0.0008647
43,71.8596,1.20114,1.23936,1.11302,0.79459,0.37511,0.4834,0.32743,1.36476,2.09388,1.64406,0.0008614,0.0008614,0.0008614
44,73.5541,1.21454,1.21241,1.0868,0.84474,0.34338,0.46981,0.32382,1.22547,2.22726,1.54164,0.0008581,0.0008581,0.0008581
45,75.1278,1.0744,1.09228,1.11365,0.88273,0.33333,0.44724,0.33628,1.10964,2.25555,1.42023,0.0008548,0.0008548,0.0008548
46,76.83,1.17608,1.22243,1.10331,0.92052,0.34528,0.48019,0.3638,1.15815,2.17272,1.51504,0.0008515,0.0008515,0.0008515
47,78.6162,1.16819,1.1491,1.07684,0.80977,0.41667,0.49576,0.37117,1.17274,2.04984,1.58314,0.0008482,0.0008482,0.0008482
48,80.4345,1.22905,1.28427,1.08999,0.84497,0.41667,0.47381,0.39509,1.11065,2.03731,1.50137,0.0008449,0.0008449,0.0008449
49,81.9842,1.16317,1.14473,1.09672,0.9121,0.41667,0.46962,0.39006,1.03215,2.05225,1.51406,0.0008416,0.0008416,0.0008416
50,83.5306,1.12529,1.13164,1.0445,0.8211,0.41667,0.41364,0.30843,1.00256,2.06247,1.41107,0.0008383,0.0008383,0.0008383
51,85.1292,1.11382,1.12686,1.11005,0.44428,0.41151,0.41048,0.30661,1.01436,2.2128,1.44934,0.000835,0.000835,0.000835
52,86.6527,1.07806,1.09431,1.11458,0.43129,0.40346,0.4248,0.31573,1.08021,2.19825,1.4747,0.0008317,0.0008317,0.0008317
53,88.3104,1.02426,1.01306,1.09017,0.71653,0.33333,0.4004,0.28615,1.25086,2.2756,1.6507,0.0008284,0.0008284,0.0008284
54,89.7349,1.09945,1.09431,1.06483,0.43211,0.40313,0.41857,0.27166,1.33496,2.17451,1.87539,0.0008251,0.0008251,0.0008251
55,91.148,1.10806,1.07794,1.10393,0.68623,0.33531,0.41937,0.27567,1.37153,2.20643,1.97289,0.0008218,0.0008218,0.0008218
56,92.4189,1.07969,1.08088,1.0696,0.67222,0.32285,0.39237,0.2622,1.31812,2.19986,1.82459,0.0008185,0.0008185,0.0008185
57,93.8354,1.01938,1.00969,1.05788,0.68148,0.33333,0.373,0.24299,1.30868,2.24403,1.7221,0.0008152,0.0008152,0.0008152
58,95.3136,1.04093,0.95532,1.03623,0.6906,0.33333,0.36216,0.28103,1.13319,2.28727,1.60243,0.0008119,0.0008119,0.0008119
59,96.6861,1.12812,1.06866,1.08752,0.42898,0.33333,0.36148,0.27999,1.21779,2.45668,1.52381,0.0008086,0.0008086,0.0008086
60,98.0627,1.08228,0.99525,1.04145,0.44443,0.3129,0.37039,0.26463,1.19615,2.29084,1.42137,0.0008053,0.0008053,0.0008053
61,99.3942,1.05179,1.00524,1.02114,0.71365,0.33333,0.37326,0.30365,1.0916,2.15671,1.36531,0.000802,0.000802,0.000802
62,100.738,1.02072,0.95261,1.00896,0.7178,0.33333,0.38283,0.31255,1.09022,2.16947,1.45814,0.0007987,0.0007987,0.0007987
63,102.184,1.12959,1.02893,1.08165,0.70482,0.33117,0.40274,0.32186,1.07828,2.09091,1.43271,0.0007954,0.0007954,0.0007954
64,103.51,1.08629,1.00995,1.07085,0.4259,0.31954,0.39388,0.31437,1.07922,2.1828,1.43918,0.0007921,0.0007921,0.0007921
65,104.904,1.08063,0.99399,1.05219,0.32566,0.3333,0.35575,0.28997,1.10264,2.26542,1.4615,0.0007888,0.0007888,0.0007888
66,106.332,0.97814,0.9513,1.02757,0.32371,0.33052,0.36698,0.29029,1.11879,2.21898,1.44643,0.0007855,0.0007855,0.0007855
67,107.856,0.9739,0.92747,1.01629,0.67846,0.33333,0.39596,0.33275,1.00317,2.03046,1.38361,0.0007822,0.0007822,0.0007822
68,109.32,0.96451,0.91728,1.02856,0.69796,0.33333,0.38377,0.31228,0.99594,2.09588,1.33524,0.0007789,0.0007789,0.0007789
69,110.831,1.01863,0.94745,1.03823,0.7079,0.33333,0.37766,0.30806,0.98491,2.19233,1.316,0.0007756,0.0007756,0.0007756
70,112.206,1.01077,0.92673,1.07774,0.69814,0.33333,0.3681,0.30135,0.98208,2.27985,1.30043,0.0007723,0.0007723,0.0007723
71,113.477,1.04539,0.98186,1.05074,0.69167,0.33333,0.37492,0.31621,0.96283,2.27239,1.31118,0.000769,0.000769,0.000769
72,114.849,1.04355,0.94116,1.02689,0.6941,0.33333,0.38939,0.33235,0.98187,2.23195,1.32529,0.0007657,0.0007657,0.0007657
73,116.235,1.06728,0.97152,1.04459,0.70964,0.40528,0.40973,0.32629,0.95086,2.07209,1.30057,0.0007624,0.0007624,0.0007624
74,117.517,0.92099,0.87337,1.01849,0.74411,0.41415,0.40886,0.31949,1.0166,2.06231,1.33512,0.0007591,0.0007591,0.0007591
75,118.919,0.90245,0.8743,0.98668,0.76785,0.38702,0.39412,0.3216,0.97476,2.27876,1.303,0.0007558,0.0007558,0.0007558
76,120.324,1.02563,0.94565,1.02477,0.46623,0.32717,0.37305,0.30523,0.91862,2.39193,1.27905,0.0007525,0.0007525,0.0007525
77,121.725,1.01821,0.95238,1.0091,0.31938,0.33333,0.34108,0.2709,0.91237,2.48624,1.33708,0.0007492,0.0007492,0.0007492
78,123.314,1.04619,0.89563,1.03539,0.32533,0.25,0.30846,0.24267,0.99494,2.53311,1.45624,0.0007459,0.0007459,0.0007459
79,124.695,0.94302,0.89448,0.99939,0.21898,0.33333,0.3195,0.25258,1.06224,2.56128,1.52949,0.0007426,0.0007426,0.0007426
80,126.028,0.91653,0.85212,1.01799,0.30646,0.25,0.33,0.26185,1.02481,2.46759,1.51199,0.0007393,0.0007393,0.0007393
81,127.51,0.94898,0.84786,0.986,0.69443,0.25,0.36958,0.29392,0.95887,2.29471,1.45255,0.000736,0.000736,0.000736
82,129.141,0.99085,0.86704,1.05396,0.39526,0.32804,0.40321,0.3323,0.94578,2.25024,1.43353,0.0007327,0.0007327,0.0007327
83,130.771,0.89695,0.84856,1.00574,0.36662,0.39935,0.38845,0.28774,0.99599,2.19359,1.50514,0.0007294,0.0007294,0.0007294
84,132.217,0.9657,0.86323,1.03175,0.42109,0.32888,0.37763,0.27228,1.02772,2.26506,1.56564,0.0007261,0.0007261,0.0007261
85,133.744,0.99479,0.88592,1.02583,0.37913,0.41667,0.36886,0.26339,1.10095,2.37277,1.60608,0.0007228,0.0007228,0.0007228
86,135.382,1.0267,0.84849,1.00765,0.44043,0.41667,0.36907,0.25398,1.20297,2.37796,1.64344,0.0007195,0.0007195,0.0007195
87,136.899,0.99909,0.85083,1.01913,0.43659,0.41201,0.36921,0.25514,1.19207,2.35446,1.65268,0.0007162,0.0007162,0.0007162
88,138.425,0.93041,0.86441,1.00499,0.41657,0.41667,0.37172,0.29252,1.18167,2.28865,1.63628,0.0007129,0.0007129,0.0007129
89,139.828,0.85755,0.79549,0.95947,0.39404,0.32763,0.37475,0.28536,1.19824,2.29251,1.61735,0.0007096,0.0007096,0.0007096
90,141.207,0.90784,0.8248,1.00258,0.72796,0.25,0.33464,0.22642,1.24859,2.35436,1.66277,0.0007063,0.0007063,0.0007063
91,142.554,0.92099,0.7788,0.9701,0.70238,0.25,0.33788,0.22506,1.29166,2.62915,1.79947,0.000703,0.000703,0.000703
92,143.905,0.87129,0.79949,1.00221,0.35272,0.30906,0.35846,0.25144,1.26827,2.80975,1.76704,0.0006997,0.0006997,0.0006997
93,145.281,0.83875,0.78611,1.01452,0.33546,0.32409,0.38136,0.23311,1.36381,2.93657,1.81101,0.0006964,0.0006964,0.0006964
94,146.657,0.91061,0.78124,0.99358,0.40964,0.39439,0.39648,0.24372,1.43531,2.87235,1.88945,0.0006931,0.0006931,0.0006931
95,148.168,0.9061,0.77627,1.01356,0.33965,0.32983,0.38533,0.2355,1.44925,2.65436,1.95456,0.0006898,0.0006898,0.0006898
96,149.648,0.88712,0.78978,0.97216,0.4859,0.25,0.34335,0.22933,1.43404,2.47889,1.92262,0.0006865,0.0006865,0.0006865
97,151.011,0.87616,0.76985,0.96907,0.48094,0.25,0.34554,0.24077,1.36835,2.48952,1.81493,0.0006832,0.0006832,0.0006832
98,152.377,0.92844,0.82143,1.00995,0.30779,0.40304,0.33706,0.26233,1.29855,2.53061,1.73776,0.0006799,0.0006799,0.0006799
99,153.747,0.86435,0.73122,0.98769,0.48554,0.33029,0.38211,0.28633,1.1986,2.38672,1.41412,0.0006766,0.0006766,0.0006766
100,155.081,0.85094,0.76129,1.0011,0.48103,0.49363,0.43563,0.3366,1.10873,2.32959,1.32173,0.0006733,0.0006733,0.0006733
101,156.45,0.92547,0.79225,0.99523,0.50193,0.49888,0.43829,0.32786,1.04578,2.12415,1.26565,0.00067,0.00067,0.00067
102,157.811,0.93604,0.799,1.03933,0.48539,0.5,0.46571,0.36155,1.06223,2.14803,1.25307,0.0006667,0.0006667,0.0006667
103,159.252,0.92321,0.80502,0.99066,0.51705,0.39173,0.42389,0.34414,0.99837,2.15256,1.23235,0.0006634,0.0006634,0.0006634
104,160.738,0.84388,0.70885,0.97291,0.35043,0.5,0.38728,0.32178,1.01789,2.25629,1.26342,0.0006601,0.0006601,0.0006601
105,162.02,0.88783,0.78548,0.97726,0.34513,0.5,0.37285,0.28231,1.07244,2.3569,1.27207,0.0006568,0.0006568,0.0006568
106,163.387,0.93166,0.75136,0.97534,0.70363,0.25,0.36328,0.26977,1.05863,2.4654,1.2522,0.0006535,0.0006535,0.0006535
107,164.772,0.93587,0.77996,0.99507,0.47062,0.25,0.34455,0.2902,0.97283,2.44197,1.24673,0.0006502,0.0006502,0.0006502
108,166.129,0.86392,0.74978,1.00382,0.4732,0.25,0.35091,0.28331,0.9858,2.3927,1.27312,0.0006469,0.0006469,0.0006469
109,167.47,0.89723,0.75494,0.98802,0.46735,0.25,0.36542,0.27317,0.97596,2.25131,1.27763,0.0006436,0.0006436,0.0006436
110,168.789,0.86452,0.72554,0.98588,0.71442,0.25,0.39772,0.29775,1.06545,2.19673,1.34148,0.0006403,0.0006403,0.0006403
111,170.182,0.86359,0.77925,1.01596,0.38842,0.32694,0.40013,0.31545,1.08563,2.08762,1.34007,0.000637,0.000637,0.000637
112,171.589,0.89037,0.72551,0.95918,0.68894,0.33333,0.38818,0.29655,1.11627,2.17058,1.48657,0.0006337,0.0006337,0.0006337
113,172.911,0.87404,0.72769,0.98539,0.71177,0.33333,0.37612,0.28371,1.13576,2.16595,1.58006,0.0006304,0.0006304,0.0006304
114,174.227,0.91131,0.74637,0.97927,0.72803,0.33333,0.37512,0.28144,1.17536,2.23675,1.62392,0.0006271,0.0006271,0.0006271
115,175.637,0.87645,0.72098,0.99341,0.39667,0.32783,0.36644,0.26623,1.25752,2.50378,1.70068,0.0006238,0.0006238,0.0006238
116,177.044,0.84325,0.70699,0.95518,0.38405,0.32521,0.36746,0.27014,1.28646,2.60757,1.72563,0.0006205,0.0006205,0.0006205
117,178.418,0.87105,0.68782,0.97705,0.38613,0.32794,0.37467,0.27871,1.29913,2.64168,1.72193,0.0006172,0.0006172,0.0006172
118,179.832,0.94267,0.76374,0.96878,0.38364,0.32804,0.38415,0.2867,1.3003,2.63361,1.7256,0.0006139,0.0006139,0.0006139
119,181.192,0.88855,0.71086,0.96114,0.38343,0.32802,0.39896,0.29654,1.30185,2.53771,1.69142,0.0006106,0.0006106,0.0006106
120,182.606,0.79979,0.72218,0.94763,0.38693,0.32781,0.40958,0.32109,1.27003,2.53614,1.62044,0.0006073,0.0006073,0.0006073
121,184.118,0.87372,0.74779,1.00325,0.39927,0.32751,0.40887,0.31624,1.22859,2.4424,1.58022,0.000604,0.000604,0.000604
122,185.498,0.89222,0.7181,0.97713,0.4063,0.32738,0.41059,0.31301,1.18262,2.32461,1.54185,0.0006007,0.0006007,0.0006007
123,186.96,0.83596,0.6981,0.98713,0.42995,0.32701,0.41646,0.32814,1.08592,2.19054,1.45432,0.0005974,0.0005974,0.0005974
124,188.32,0.81743,0.69449,0.99812,0.44082,0.32783,0.40309,0.33649,1.00495,2.25448,1.40524,0.0005941,0.0005941,0.0005941
125,189.644,0.84012,0.68946,0.95272,0.44501,0.32944,0.37807,0.31691,0.98912,2.29077,1.42399,0.0005908,0.0005908,0.0005908
126,190.964,0.81512,0.66967,0.95173,0.44056,0.32373,0.37065,0.31757,1.01331,2.37811,1.44308,0.0005875,0.0005875,0.0005875
127,192.682,0.88957,0.73444,0.9855,0.72889,0.25,0.34547,0.29666,1.02649,2.41222,1.44737,0.0005842,0.0005842,0.0005842
128,194.432,0.81747,0.68847,0.96996,0.72127,0.25,0.35038,0.28255,1.02522,2.40786,1.43072,0.0005809,0.0005809,0.0005809
129,196.109,0.8898,0.73215,0.96818,0.71105,0.25,0.37276,0.30071,1.03844,2.45741,1.43978,0.0005776,0.0005776,0.0005776
130,197.68,0.77311,0.66904,0.96934,0.26953,0.38995,0.37711,0.30651,1.0307,2.42475,1.43254,0.0005743,0.0005743,0.0005743
131,199.265,0.85053,0.68425,0.95248,0.37252,0.49462,0.40278,0.33907,1.0611,2.2907,1.44911,0.000571,0.000571,0.000571
132,200.821,0.87125,0.68887,0.96219,0.37819,0.4838,0.41518,0.33882,1.13703,2.17714,1.48368,0.0005677,0.0005677,0.0005677
133,202.226,0.84694,0.6746,0.96798,0.37385,0.47609,0.42405,0.33,1.07602,2.07224,1.37138,0.0005644,0.0005644,0.0005644
134,203.697,0.8512,0.71959,0.98938,0.43711,0.45058,0.44892,0.35561,1.13179,2.17659,1.45642,0.0005611,0.0005611,0.0005611
135,205.064,0.84066,0.68321,0.95657,0.42464,0.40428,0.4454,0.3475,1.15906,2.32105,1.5019,0.0005578,0.0005578,0.0005578
136,206.386,0.8356,0.69273,0.9707,0.4131,0.40019,0.43448,0.34007,1.19581,2.28446,1.51956,0.0005545,0.0005545,0.0005545
137,207.766,0.77942,0.67572,0.93191,0.44793,0.33134,0.41639,0.31162,1.17536,2.25105,1.45318,0.0005512,0.0005512,0.0005512
138,209.137,0.78193,0.68535,0.97883,0.51481,0.33333,0.43869,0.33977,1.08573,2.1333,1.36627,0.0005479,0.0005479,0.0005479
139,210.701,0.75852,0.63142,0.94557,0.47605,0.48623,0.45239,0.3818,0.93507,2.04269,1.2769,0.0005446,0.0005446,0.0005446
140,212.092,0.80578,0.65136,0.94432,0.55735,0.48466,0.46097,0.40841,0.88899,2.11708,1.25183,0.0005413,0.0005413,0.0005413
